Date set up,Site,Phloem_feeder_treatment,Ant treatment,Branch ID,Number of leaves,Phloem-feeders found,Number phloem-feeders,Density phloem-feeders,Caterpillars found1,Caterpillars found2,Caterillars found3,Caterpillars found4,Number cats found,Density cats found,Number large gen cats found,Density large gen cats found,Ants found,Caterpillars stocked1,Caterpillars stocked2,Stocked large generalist cats,Stocked density large gen cats,Stocked generalist cats,Stocked density gen cats,Membracids stocked,S1 date,S1 phloem-feeders,S1 phloem-feeders present?,S1 Number phloem-feeders,S1 Density phloem-feeders,S1 Number cats < 1cm,S1 Density cats <1cm,S1 Number cats > 1cm,S1 Density cats > 1cm,S1 Total Cats,S1 Density Total Cats,S1 Ants found,S1_Small_Generalist,S1_Small_Gen_Density,S1_Big_Generalist,S1_Big_Gen_Density,S1_Total_Generalists,S1_Gen_Density,S1_Small_Specialist,S1_Small_Spec_Density,S1_Big_Specialist,S1_Big_Spec_Density,S1_Total_Specialists,S1_Spec_Density,S1 Notes,S2 date,S2 phloem-feeders,S2 Number cats < 1cm,S2 Density cats < 1cm,S2 Number cats > 1cm,S2 Density cats > 1cm,S2 Total Cats,S2 Density total cats,S2 Ants found,S2_Small_Generalist,S2_Big_Generalist,S2_Generalist,S2_Small_Gen_Density,S2_Big_Gen_Density,S2_Gen_Density,S2_Small_Specialist,S2_Small_Spec_Density,S2_Big_Specialist,S2_Big_Spec_Density,S2 Notes,S1_S2 Total cats,S1_S2_Density_total_cats,S1_S2_SG_Small_cats,S1_S2_SG_Small_Density,S1_S2_Small_Generalist,S1_S2_Small_Gen_Density,S1_S2_Large_Generalist,S1_S2_Large_Gen_Density,S1_S2_Small_Spec_Density,S1_S2_Large_Spec_Density
7-Jun-22,Portland Reservoir Meshomasic,removed,control,P607-2B,78,coccids,2,2.564102564,,,,,0,0,0,0,none,Nadata,Himella*,1,1.282051282,1,1.282051282,0,14-Jun-22,none,0,0,0,0,0,1,1.282051282,1,1.282051282,2 Formica,0,0,0,0,0,0,0,0,1,1.282051282,1,1.282051282,,22-Jun-22,none,5,6.41025641,0,0,5,0,none,0,0,0,0,0,0,4,5.128205128,0,0,1 micro,6,7.692307692,4,2.564102564,0,0,0,0,2.564102564,0.641025641
7-Jun-22,Portland Reservoir Meshomasic,removed,exclusion,P607-2A,144,2 membracids,2,1.388888889,Achatia,,,,1,0.694444444,1,0.694444444,2 Formica,Lambdina,Achatia*,2,1.388888889,2,1.388888889,0,14-Jun-22,none,0,0,0,2,1.388888889,0,0,2,1.388888889,none,1,0.694444444,0,0,1,0.694444444,1,0.694444444,0,0,1,0.694444444,,22-Jun-22,none,5,3.472222222,0,0,5,0,none,1,0,1,0.694444444,0,0.694444444,4,2.777777778,0,0,,7,4.861111111,7,2.430555556,2,0.694444444,0,0,1.736111111,0
7-Jun-22,Portland Reservoir Meshomasic,removed,exclusion,P607-3A,127,1 membracid_ coccids,3,2.362204724,,,,,0,0,0,0,2 C.p.,Nadata,Himella*,1,0.787401575,1,0.787401575,0,14-Jun-22,none,0,0,0,0,0,1,0.787401575,1,0.787401575,none,0,0,0,0,0,0,0,0,1,0.787401575,1,0.787401575,,22-Jun-22,none,5,3.937007874,0,0,5,0,none,1,0,1,0.787401575,0,0.787401575,4,3.149606299,0,0,,6,4.724409449,5,1.968503937,1,0.393700787,0,0,1.57480315,0.393700787
7-Jun-22,Portland Reservoir Meshomasic,replaced,control,P607-3D,129,2 membracids,2,1.550387597,,,,,0,0,0,0,1 Formica  ,Morrisonia confusa,Lambdina*,2,1.550387597,2,1.550387597,1,14-Jun-22,none,0,0,0,0,0,1,0.775193798,1,0.775193798,1 C.c.,0,0,1,0.775193798,1,0.775193798,0,0,0,0,0,0,,22-Jun-22,1 membracid,1,0.775193798,0,0,1,0,none,0,0,0,0,0,0,1,0.775193798,0,0,,2,1.550387597,1,0.387596899,0,0,1,0.387596899,0.387596899,0
7-Jun-22,Portland Reservoir Meshomasic,removed,control,P607-3B,121,coccids,2,1.652892562,Achatia,,,,1,0.826446281,1,0.826446281,1 Formica  ,Achatia,Nadata*,1,0.826446281,1,0.826446281,0,14-Jun-22,none,0,0,0,0,0,2,1.652892562,2,1.652892562,none,0,0,0,0,0,0,1,0.826446281,2,1.652892562,3,2.479338843,,22-Jun-22,1 membracid adult,7,5.785123967,1,0.826446281,8,0.683013455,none,0,0,0,0,0,0,5,4.132231405,1,0.826446281,1 micro,10,8.26446281,6,2.479338843,0,0,0,0,2.479338843,1.239669421
7-Jun-22,Portland Reservoir Meshomasic,replaced,exclusion,P607-3C,179,coccids,2,1.117318436,,,,,0,0,0,0,1 Formica  ,Besma,Lambdina*,2,1.117318436,2,1.117318436,1,14-Jun-22,none,0,0,0,0,0,1,0.558659218,1,0.558659218,none,0,0,1,0.558659218,1,0.558659218,0,0,0,0,0,0,,22-Jun-22,none,15,8.379888268,0,0,15,0,none,3,0,3,1.675977654,0,1.675977654,8,4.469273743,0,0,4 micros,16,8.938547486,11,3.072625698,3,0.837988827,1,0.279329609,2.234636872,0
8-Jun-22,Kelseytown Rd Cockaponset,removed,control,K608-1B,143,1 coccid,1,0.699300699,,,,,0,0,0,0,none,Lambdina,Himella ,2,1.398601399,2,1.398601399,0,15-Jun-22,coccids,1,2,1.398601399,2,1.398601399,1,0.699300699,3,2.097902098,1 C.c.,2,1.398601399,1,0.699300699,3,2.097902098,0,0,0,0,0,0,,23-Jun-22,none,2,1.398601399,1,0.699300699,3,0.489021468,none,2,1,3,1.398601399,0.699300699,2.097902098,0,0,0,0,,6,4.195804196,4,1.398601399,4,1.398601399,2,0.699300699,0,0
8-Jun-22,Kelseytown Rd Cockaponset,replaced,control,K608-1D,138,coccids,2,1.449275362,Himella,,,,1,0.724637681,1,0.724637681,1 C.c.,Lambdina,Himella,2,1.449275362,2,1.449275362,2,15-Jun-22,coccids,1,2,1.449275362,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,,23-Jun-22,none,1,0.724637681,1,0.724637681,2,0.525099769,none,0,1,1,0,0.724637681,0.724637681,1,0.724637681,0,0,,2,1.449275362,1,0.362318841,0,0,1,0.362318841,0.362318841,0
8-Jun-22,Kelseytown Rd Cockaponset,replaced,exclusion,K608-1C,326,coccids,2,0.613496933,Lambdina,Lambdina,,,2,0.613496933,2,0.613496933,3 Formica,Himella,Lambdina*,2,0.613496933,2,0.613496933,2,15-Jun-22,none,0,0,0,2,0.613496933,1,0.306748466,3,0.920245399,none,0,0,1,0.306748466,1,0.306748466,0,0,0,0,0,0,2 micros,23-Jun-22,none,11,3.374233129,0,0,11,0,none,1,0,1,0.306748466,0,0.306748466,6,1.840490798,0,0,4 micros,14,4.294478528,7,1.073619632,1,0.153374233,1,0.153374233,0.920245399,0
8-Jun-22,Kelseytown Rd Cockaponset,removed,exclusion,K608-1A,303,coccids,2,0.660066007,Himella,Lithophane sp.,Hyperaeschra georgica,,3,0.99009901,2,0.660066007,none,Lambdina,Lambdina*,2,0.660066007,2,0.660066007,0,15-Jun-22,none,0,0,0,0,0,2,0.660066007,2,0.660066007,none,0,0,2,0.660066007,2,0.660066007,0,0,0,0,0,0,,23-Jun-22,none,6,1.98019802,0,0,6,0,none,4,0,4,1.320132013,0,1.320132013,0,0,0,0,2 micros,8,2.640264026,4,0.660066007,4,0.660066007,2,0.330033003,0,0
8-Jun-22,Kelseytown Rd Cockaponset,removed,exclusion,K608-2A,51,3 membracids ,3,5.882352941,,,,,0,0,0,0,1 Formica  ,Himella,Achatia*,2,3.921568627,2,3.921568627,0,15-Jun-22,none,0,0,0,2,3.921568627,0,0,2,3.921568627,none,1,1.960784314,0,0,1,1.960784314,0,0,0,0,0,0,1 micro,23-Jun-22,old coccids,7,13.7254902,0,0,7,0,none,2,0,2,3.921568627,0,3.921568627,3,5.882352941,0,0,2 micros,9,17.64705882,6,5.882352941,3,2.941176471,0,0,2.941176471,0
8-Jun-22,Kelseytown Rd Cockaponset,removed,control,K608-2B,157,1 membracid,1,0.636942675,,,,,0,0,0,0,1 Formica  ,Lambdina,Lithophane sp.,2,1.27388535,2,1.27388535,0,15-Jun-22,none,0,0,0,1,0.636942675,1,0.636942675,2,1.27388535,2 Formica,0,0,1,0.636942675,1,0.636942675,0,0,0,0,0,0,1 micro,23-Jun-22,none,1,0.636942675,0,0,1,0,none,0,0,0,0,0,0,0,0,0,0,1 micro,3,1.910828025,0,0,0,0,1,0.318471338,0,0
8-Jun-22,Kelseytown Rd Cockaponset,replaced,control,K608-2D,84,3 membracids ,3,3.571428571,Lambdina,,,,1,1.19047619,1,1.19047619,3 C.p. 1 Formica,Lambdina,Morrisonia confusa,2,2.380952381,2,2.380952381,2,15-Jun-22,coccids,1,2,2.380952381,1,1.19047619,2,2.380952381,3,3.571428571,1 Formica,0,0,2,2.380952381,2,2.380952381,1,1.19047619,0,0,1,1.19047619,,23-Jun-22,old coccids,3,3.571428571,0,0,3,0,none,0,0,0,0,0,0,3,3.571428571,0,0,,6,7.142857143,4,2.380952381,0,0,2,1.19047619,2.380952381,0
8-Jun-22,Kelseytown Rd Cockaponset,replaced,exclusion,K608-2C,138,coccids,2,1.449275362,,,,,0,0,0,0,1 C.p.,Lambdina,Achatia*,2,1.449275362,2,1.449275362,2,15-Jun-22,coccids_ 2 membracids,1,4,2.898550725,2,1.449275362,1,0.724637681,3,2.173913043,1 C.p.,2,1.449275362,1,0.724637681,3,2.173913043,0,0,0,0,0,0,,23-Jun-22,none,5,3.623188406,2,1.449275362,7,1.050199538,none,0,2,2,0,1.449275362,1.449275362,1,0.724637681,0,0,4 micros,10,7.246376812,3,1.086956522,2,0.724637681,3,1.086956522,0.362318841,0
